product_Id,vendor_name,product_name,product_description,parent_category,sub_category
111,SanMar Corp,Richardson Garment Washed Trucker 111,Cotton sweatband,Apparel,Headwear
112,SanMar Corp,Richardson Trucker Cap 112,Cotton sweatband,Apparel,Headwear
115,SanMar Corp,Richardson Low Pro Trucker 115,Cotton sweatband,Apparel,Headwear
119,Edwards Garment,Cotton Blend Ladies Long Cardigan,Cotton sweatband,Apparel,Jackets & Fleece
168,SanMar Corp,Richardson 7-Panel Trucker 168,Cotton sweatband,Apparel,Headwear
169,SanMar Corp,Richardson Cannon 7-Panel Flatbill 169,Stay-Dri sweatband,Apparel,Headwear
173,SanMar Corp,Richardson Hood River 173,Stay-Dri sweatband,Apparel,Headwear
212,SanMar Corp,Richardson Pro Twill Snapback 212,Stay-Dri sweatband,Apparel,Headwear
220,SanMar Corp,Richardson Relaxed Performance Lite 220,Stay-Dri sweatband,Apparel,Headwear
225,SanMar Corp,Richardson Casual Performance Lite 225,Stay-Dri sweatband,Apparel,Headwear
256,SanMar Corp,Richardson Umpqua Gramps Cap 256,Cotton sweatband,Apparel,Headwear
258,SanMar Corp,Richardson 5-Panel Classic Rope Cap 258,Stay-Dri sweatband,Apparel,Accessories
258,SanMar Corp,Richardson 5-Panel Classic Rope Cap 258,Stay-Dri sweatband,Apparel,Headwear
312,SanMar Corp,Richardson Solid Twill Trucker 312,Stay-Dri sweatband,Apparel,Headwear
326,SanMar Corp,Richardson Peached Cotton Twill 326,Standard sweatband,Apparel,Headwear
336,SanMar Corp,Richardson Burnside 336,Standard sweatband,Apparel,Headwear
355,SanMar Corp,Richardson Laser Perf Performance Rope Cap 355,Stay-Dri sweatband,Apparel,Headwear
356,SanMar Corp,Richardson 5-Panel Relaxed Gramps 356,Softsnap adjustable closure,Apparel,Headwear
402.5,Evans Manufacturing,"Keep-It Bag Clip (2 1/2"")",Small size is ideal for neatly holding coupons and small bags together. optional magnetic backing available.,Office,Magnets
485,Evans Manufacturing,Magnetic Clip-It,"Features black rubber ring and interior gripper tip for better grasp. Securely holds photographs, mail and papers or can keep snack bags closed. Magnet on back attaches to file cabinets, magnetic boards and refrigerators.",Office,Magnets
504,Evans Manufacturing,Oval Flexible Key Tag,"30 popular shapes to suit business and promotional themes. Includes 1"" split-ring.",Accessories,Others
506,Evans Manufacturing,Key Flexible Key Tag,"30 popular shapes to suit business and promotional themes. Includes 1"" split-ring.",Accessories,Others
507,Evans Manufacturing,Truck Flexible Key Tag,"30 popular shapes to suit business and promotional themes. Includes 1"" split-ring.",Accessories,Auto
509,Evans Manufacturing,#1 Flexible Key Tag,"30 popular shapes to suit business and promotional themes. Includes 1"" split-ring.",Accessories,Others
511,Evans Manufacturing,House Flexible Key Tag,"30 popular shapes to suit business and promotional themes. Includes 1"" split-ring.",Accessories,Others
511,SanMar Corp,Richardson Acrylic-Wool Blend Flatbill Trucker 511,Adjustable snapback closure,Apparel,Headwear
519,Evans Manufacturing,Tab Flexible Key Tag,"30 popular shapes to suit business and promotional themes. Includes 1"" split-ring.",Accessories,Others
520,Evans Manufacturing,Car Flexible Key Tag,"30 popular shapes to suit business and promotional themes. Includes 1"" split-ring.",Accessories,Auto
533,Evans Manufacturing,Large Oval Flexible Key Tag,"30 popular shapes to suit business and promotional themes. Includes 1"" split-ring.",Accessories,Others
